tag,scalar_value,global_step
Reward,9.0,53
Mean Reward,9.962962962962964,53
Loss,0.03803623616695404,54
Epsilon,0.1,54
Reward,10.0,54
Mean Reward,9.963636363636363,54
Loss,0.03914314632614454,55
Epsilon,0.1,55
Reward,9.0,55
Mean Reward,9.946428571428571,55
Loss,0.039168909192085266,56
Epsilon,0.1,56
Reward,8.0,56
Mean Reward,9.912280701754385,56
Loss,0.03770604779322942,57
Epsilon,0.1,57
Reward,15.0,57
Mean Reward,10.0,57
Loss,0.03467466371754805,58
Epsilon,0.1,58
Reward,9.0,58
Mean Reward,9.983050847457626,58
Loss,0.03264939840883017,59
Epsilon,0.1,59
Reward,10.0,59
Mean Reward,9.983333333333333,59
Loss,0.03736175261437893,60
Epsilon,0.1,60
Reward,10.0,60
Mean Reward,9.98360655737705,60
Loss,0.03215765037263433,61
Epsilon,0.1,61
Reward,12.0,61
Mean Reward,10.016129032258064,61
Loss,0.027837432300051052,62
Epsilon,0.1,62
Reward,9.0,62
Mean Reward,10.0,62
Loss,0.02857859127900817,63
Epsilon,0.1,63
Reward,11.0,63
Mean Reward,10.015625,63
Loss,0.027767217294736343,64
Epsilon,0.1,64
Reward,11.0,64
Mean Reward,10.03076923076923,64
Loss,0.025773146086268954,65
Epsilon,0.1,65
Reward,9.0,65
Mean Reward,10.015151515151516,65
Loss,0.025390302593057804,66
Epsilon,0.1,66
Reward,11.0,66
Mean Reward,10.029850746268657,66
Loss,0.023889198052612217,67
Epsilon,0.1,67
Reward,11.0,67
Mean Reward,10.044117647058824,67
Loss,0.02315492845243878,68
Epsilon,0.1,68
Reward,9.0,68
Mean Reward,10.028985507246377,68
Loss,0.02031548470258713,69
Epsilon,0.1,69
Reward,10.0,69
Mean Reward,10.028571428571428,69
Loss,0.01600354268319077,70
Epsilon,0.1,70
Reward,9.0,70
Mean Reward,10.014084507042254,70
Loss,0.017500017397105695,71
Epsilon,0.1,71
Reward,10.0,71
Mean Reward,10.01388888888889,71
Loss,0.017049798183143137,72
Epsilon,0.1,72
Reward,10.0,72
Mean Reward,10.013698630136986,72
Loss,0.01840471224859357,73
Epsilon,0.1,73
Reward,10.0,73
Mean Reward,10.013513513513514,73
Loss,0.01654374310746789,74
Epsilon,0.1,74
Reward,10.0,74
Mean Reward,10.013333333333334,74
Loss,0.01839019192589654,75
Epsilon,0.1,75
Reward,9.0,75
Mean Reward,10.0,75
Loss,0.017656912265176124,76
Epsilon,0.1,76
Reward,11.0,76
Mean Reward,10.012987012987013,76
Loss,0.01594512609557973,77
Epsilon,0.1,77
Reward,9.0,77
Mean Reward,10.0,77
Loss,0.015114137204363942,78
Epsilon,0.1,78
Reward,8.0,78
Mean Reward,9.974683544303797,78
Loss,0.0169460347129239,79
Epsilon,0.1,79
Reward,9.0,79
Mean Reward,9.9625,79
Loss,0.013584868827213844,80
Epsilon,0.1,80
Reward,12.0,80
Mean Reward,9.987654320987655,80
Loss,0.013035750609229912,81
Epsilon,0.1,81
Reward,11.0,81
Mean Reward,10.0,81
Loss,0.014979765073142269,82
Epsilon,0.1,82
Reward,11.0,82
Mean Reward,10.012048192771084,82
Loss,0.015905667484427493,83
Epsilon,0.1,83
Reward,12.0,83
Mean Reward,10.035714285714286,83
Loss,0.014099002070724963,84
Epsilon,0.1,84
Reward,10.0,84
Mean Reward,10.035294117647059,84
Loss,0.01145837718451565,85
Epsilon,0.1,85
Reward,11.0,85
Mean Reward,10.046511627906977,85
Loss,0.012403312977403403,86
Epsilon,0.1,86
Reward,10.0,86
Mean Reward,10.045977011494253,86
Loss,0.0120655777088056,87
Epsilon,0.1,87
Reward,12.0,87
Mean Reward,10.068181818181818,87
Loss,0.012202199134561751,88
Epsilon,0.1,88
Reward,9.0,88
Mean Reward,10.0561797752809,88
Loss,0.012167108058929444,89
Epsilon,0.1,89
Reward,10.0,89
Mean Reward,10.055555555555555,89
Loss,0.012282443046569825,90
Epsilon,0.1,90
Reward,10.0,90
Mean Reward,10.054945054945055,90
Loss,0.014585069846361876,91
Epsilon,0.1,91
Reward,10.0,91
Mean Reward,10.054347826086957,91
Loss,0.012870095246894793,92
Epsilon,0.1,92
Reward,11.0,92
Mean Reward,10.064516129032258,92
Loss,0.012699600102172958,93
Epsilon,0.1,93
Reward,9.0,93
Mean Reward,10.053191489361701,93
Loss,0.012618145532906055,94
Epsilon,0.1,94
Reward,10.0,94
Mean Reward,10.052631578947368,94
Loss,0.013029123910448769,95
Epsilon,0.1,95
Reward,11.0,95
Mean Reward,10.0625,95
Loss,0.01131779421120882,96
Epsilon,0.1,96
Reward,10.0,96
Mean Reward,10.061855670103093,96
Loss,0.012836056451002756,97
Epsilon,0.1,97
Reward,12.0,97
Mean Reward,10.081632653061224,97
Loss,0.013803744095970284,98
Epsilon,0.1,98
Reward,11.0,98
Mean Reward,10.090909090909092,98
Loss,0.01505704242736101,99
Epsilon,0.1,99
Reward,10.0,99
Mean Reward,10.09,99
Loss,0.013427362777292728,100
Epsilon,0.1,100
Reward,10.0,100
Mean Reward,10.070707070707071,100
Loss,0.013458815465370814,101
Epsilon,0.1,101
Reward,15.0,101
Mean Reward,10.12,101
Loss,0.015494040890850803,102
Epsilon,0.1,102
Reward,11.0,102
Mean Reward,10.080808080808081,102
Loss,0.016395206737797707,103
Epsilon,0.1,103
Reward,16.0,103
Mean Reward,10.14,103
Loss,0.01614407783684631,104
Epsilon,0.1,104
